Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Javiera Morales ,Cámara,2026,FA ,Izquierda ,Abogada 
Paulina Núñez ,Senado ,2026,RN,Derecha,Abogada 
Fabiola Campillai ,Senado ,2026,IND,Centro,Política 
Claudia Pascual,Senado ,2026,PCCh,Extrema Izquierda ,Antropóloga 
Alejandra Sepulveda ,Senado ,2026,FRVS,Izquierda ,Médico Veterinario 
Loreto Carvajal ,Senado ,2026,PPD,Centro Izquierda ,Egresada de Derecho
María José Gatica ,Senado ,2026,RN,Derecha ,Ingeniera civil en Construcción 
Danisa Astudillo ,Senado ,2026,PS,Izquierda,Ingeniera Comercial 
Daniella Cicardini ,Senado ,2026,PS ,Izquierda,Bióloga Marina 
Yasna Provoste ,Senado,2026,PDC,Centro,Profesora de Educación Física
Karol Cariola ,Senado,2026,PCCh,Extrema Izquierda ,Matrona 
Camila Flores ,Senado,2026,RN,Derecha,Abogada 
Paulina Vodanovic,Senado,2026,PS ,Izquierda,Abogada 
Andrea Balladares,Senado,2026,RN ,Derecha ,Socióloga 
Vanessa Kaiser ,Senado,2026,PNL ,Extrema Derecha ,Cientista Política 
Ximena Ordenes ,Senado ,2026,PPD,Centro Izquierda ,Socióloga 
