Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Daniela Serrano,Cámara,2021,PCCH,Extrema - Izquierda,Abogada
Marisela Santibáñez,Cámara,2021,PCCH,Extrema - Izquierda,Actriz
Emilia Schneider,Cámara,2021,COM,Izquierda,Política
Carolina Tello,Cámara,2021,FA,Izquierda,Abogada
Consuelo Veloso,Cámara,2021,RD,Izquierda,Política
Flor Weisse,Cámara,2021,UDI,Derecha,Ingeniera
Gael Yeomans,Cámara,2021,FA,Izquierda,Abogada
Danisa Astudillo,Cámara,2021,PS,Izquierda,
Yovana Ahumada,Cámara,2021,PDG,Centro,
María Francisca Bello,Cámara,2021,CS,Izquierda,
Chiara Barchiesi,Cámara,2021,PRCH,Extrema - Derecha,
Mónica Arce,Cámara,2021,PH,Izquierda,
Mercedes Bulnes,Cámara,2021,Ind RD,Izquierda,
Marta Bravo,Cámara,2021,UDI,Derecha,
María Candelaria Acevedo,Cámara,2021,PCCH,Extrema - Izquierda,
Ana María Bravo,Cámara,2021,PS,Izquierda,
Tatiana Urrutia,Cámara,2025,FA,Izquierda,Política
Javiera Rodríguez,Cámara,2025,PRCH,Extrema - Derecha,Periodista
Tamara Ramírez,Cámara,2025,PDG,Centro,Política
Emilia Schneider,Cámara,2025,FA,Izquierda,Dirigente Estudiantil
Lorena Fries,Cámara,2025,FA,Izquierda,Abogada
Irací Hassler,Cámara,2025,PCCH,Extrema - Izquierda,Igeniera Comercial
Claudia Mora,Cámara,2025,RN,Derecha,Socióloga
Constanza Hube,Cámara,2025,UDI,Derecha,Abogada
Catalina del Real,Cámara,2025,RN,Derecha,Ingeniera
Constanza Schönhaut,Cámara,2025,FA,Izquierda,Abogada
Macarena Santelices,Cámara,2025,PRCH,Extrema - Derecha,Periodista
Pamela Jiles,Cámara,2025,PDG,Centro,Periodista
Zandra Parisi,Cámara,2025,PDG,Centro,Educadora de Párvulos
Ana María Gazmuri,Cámara,2025,AH,Izquierda,Actriz
